模型名,中文名,描述
'nlp-raner-named-entity-recognition-chinese-base-news','RaNER命名实体识别-中文-新闻领域-base','该模型是基于检索增强(RaNer)方法在中文MSRA数据集训练的模型。本方法采用Transformer-CRF模型，使用StructBERT作为预训练模型底座，结合使用外部工具召回的相关句子作为额外上下文，使用Multi-view Training方式进行训练。'
'nlp-csanmt-translation-en2zh','CSANMT连续语义增强机器翻译-英中-通用领域-large','基于连续语义增强的神经机器翻译模型以有限的训练样本为锚点，学习连续语义分布以建模全局的句子空间，并据此构建神经机器翻译引擎，有效提升数据的利用效率，显著改善模型的泛化能力和鲁棒性。'
'nlp-csanmt-translation-zh2en','CSANMT连续语义增强机器翻译-中英-通用领域-large','基于连续语义增强的神经机器翻译模型以有限的训练样本为锚点，学习连续语义分布以建模全局的句子空间，并据此构建神经机器翻译引擎，有效提升数据的利用效率，显著改善模型的泛化能力和鲁棒性。'
'nlp-structbert-zero-shot-classification-chinese-base','StructBERT零样本分类-中文-base','该模型使用StructBERT-base在xnli_zh数据集(将英文数据集重新翻译得到中文数据集)上面进行了训练得到。'
'nlp-structbert-sentiment-classification-chinese-base','StructBERT情感分类-中文-通用-base','StructBERT情感分类-中文-通用-base是基于bdci、dianping、jd binary、waimai-10k四个数据集（11.5w条数据）训练出来的情感分类模型。'
'nlp-structbert-word-segmentation-chinese-base','BAStructBERT分词-中文-新闻领域-base','基于预训练语言模型的新闻领域中文分词模型，根据用户输入的中文句子产出分词结果。'
'nlp-raner-named-entity-recognition-chinese-base-ecom-50cls','RaNER命名实体识别-中文-电商领域-细粒度-base','该模型是基于检索增强(RaNer)方法在中文细粒度电商数据集训练的模型。本方法采用Transformer-CRF模型，使用sbert-base作为预训练模型底座，结合使用外部工具召回的相关句子作为额外上下文，使用Multi-view Training方式进行训练。'
'promptclue','全中文任务支持零样本学习模型','支持近20中文任务，并具有零样本学习能力。 针对理解类任务，如分类、情感分析、抽取等，可以自定义标签体系；针对生成任务，可以进行采样自由生成。使用1000亿中文token（字词级别）进行大规模预训练，累计学习1.5万亿中文token，并且在100+任务上进行多任务学习获得。'
'nlp-raner-named-entity-recognition-chinese-base-cmeee','RaNER命名实体识别-中文-医疗领域-base','该模型是基于检索增强(RaNer)方法在中文CMeEE数据集训练的模型。本方法采用Transformer-CRF模型，使用StructBERT作为预训练模型底座，结合使用外部工具召回的相关句子作为额外上下文，使用Multi-view Training方式进行训练。'
'nlp-convai-text2sql-pretrain-cn','SPACE-T表格问答预训练模型-中文-通用领域-base','SPACE-T表格问答预训练模型-中文-通用领域-base大规模预训练模型，基于transformers架构，在千万级中文表格，亿级中文表格训练数据上进行预训练，在中文跨领域、多轮、Text-to-SQL语义解析等任务上能取得很好的效果。'
'chatyuan-large','元语功能型对话大模型','元语功能型对话大模型这个模型可以用于问答、结合上下文做对话、做各种生成任务，包括创意性写作，也能回答一些像法律、新冠等领域问题。它基于PromptCLUE-large结合数亿条功能对话多轮对话数据进一步训练得到。'
'nlp-gpt3-text-generation-13b','GPT-3预训练生成模型-中文-13B','13B参数量的中文GPT-3文本生成模型'
'nlp-gpt3-text-generation-chinese-base','GPT-3预训练生成模型-中文-base','1亿参数量的中文GPT-3文本生成模型'
'nlp-gpt3-poetry-generation-chinese-large','GPT-3诗词生成模型-中文-large','3亿参数量的中文GPT-3诗词生成模型'
