问题,答案
Dockerfile-base打包出错,基础环境镜像打包失败，可能是因为网络问题，可以配置国内apt源，多构建几次
"路由增加https反代,login跳转返回http的协议",目前仅支持http协议，代码中做了限制
服务化->服务上线 部署之后，无法访问服务,内部服务和推理服务部署后，不能访问几个可能的原因，pod没有正常启动，pod端口配置错误，ip端口被网络限制，域名和ip混用，可以按照这个顺序排查
istio-ingressgateway报错，无法通过健康检查,ingressgate无法通过健康检查，需要看具体的日志才能看到，可能的原因是istiod没有正常启动，导致ingressgateway链接不上istiod，也有可能是因为使用了第三方那个证书导致，或者证书时间过期。可以根据具体的日志信息，到谷歌搜索解决
登录失败,如果可以打开页面，但是登录失败，可以右上角退出按钮，重新进入登录界面，系统默认自动注册新用户，自带账户密码admin/admin，如果忘记密码可联系管理员修改或进入数据库修改
有没有支持类似TKE的vCUDA，阿里的cGPU之类的cuda劫持的虚拟gpu计划呢,目前支持vgpu的能力，可以参考github wiki中的“加入gpu机器”这篇文章
如何去掉登录验证,无法去除登录验证，因为很多界面都是要验证用户后获取，去除登录验证，这些界面将不能正常访问
单机部署rancher之后进不去web页面,如果是刚部署完后就进入不了web界面，那可能是rancher server还没有启动起来，要稍等片刻，如果是运行一段时间后，突然进去不了，或者因为docker重启，机器重启等原因进入不了，可以参考github wiki中rancher部署k8s部分的文章，配置rancher的单机高可用
关于将Cube studio嵌入其他云平台的cookie的作用域问题,可以在配置文件config.py中配置COOKIE_DOMAIN参数，这个参数就是你想共享给其他平台的域名后缀
构建vision和visionPlus失败,前端代码构建失败，可能是由于网络问题，建议添加国内node源以后再构建，可以尝试多构建几次
core-dns出错，service name无法解析，集群启动，但是pod之间无法通信，是什么原因,应该是机器防火墙的问题，可以使用iptables -P FORWARD ACCEPT；iptables -P INPUT ACCEPT；iptables -P OUTPUT ACCEPT放开防火墙，并且由于各家公司网络可能会自定恢复，所以iptable的放开可以设定为定时任务
rancher单集群多机 一直卡在Waiting to register with Kubernetes,机器需要先拉取好镜像，再加入到k8s集群，这样加入集群时会快很多
总有一个镜像拉取有问题是为什么？,可以现在主机上将该镜像拉取好
"在平台部署notebook直接提示unkown,选择reset会报错",notebook unknow说明notebook没有运行，reset报错，需要提供进一步的消息
node节点的worker机器上是否需要pull_image_kubeflow.sh里的镜像？,是的，worker节点上需要拉取镜像，并且为机器打上对应的tag
rancher主机注册的时候一直卡在[remove/etcd-fix-perm] Successfully removed container on host,rancher部署时会自动在机器上部署agent，来完成k8s节点的初始化。rancher部署，需要提前拉取好镜像，准备至少16核的机器设备，如果部署失败，使用reset_docker脚本，重置docker后重启，重新部署
部署后kubeflow dashboard 报错mysql数据库链接不上，域名无法解析,应该是机器防火墙的问题，可以使用iptables -P FORWARD ACCEPT；iptables -P INPUT ACCEPT；iptables -P OUTPUT ACCEPT放开防火墙，并且由于各家公司网络可能会自定恢复，所以iptable的放开可以设定为定时任务
似乎没有找到这个镜像，哪里需要这个镜像,镜像找不到，如果是cube-studio的镜像，那可以联系管理员，如果是其他开源项目或者自己的镜像，可以先尝试自己在机器上是否能拉取到，再查看cube-studio平台中拉取不到的问题。有可能是账号密码的问题，也有可能是镜像名错误的问题
二次开发,二次开发，需要进一步学习源码，或者购买商业版二开咨询服务
aihub运行中存在的前端bug,aihub中前端bug目前仍在进一步修复中，有什么bug也可以在github中提出
请问模型训练的结果可视化，类似tensorboard这种的功能打算怎么实现么？,任务结果的可视化，目前是商业版的功能，不过tensorboard在jupyter中进行了集成，可以打开深度学习版本的jupyter，在左侧文件目录结构中，先打开到训练的日志目录，再点击tensorboard图标按钮，就可以查看实时或者离线的训练结果了
如何进行算子的编排,算子的编排主要分为任务级别和函数级别，任务级别要求前一个结束了才运行下一个，这一类主要在训练菜单中的任务流模块下，拖拉拽算子实现。如果是只做编排，只是用来定义上下游逻辑关系，那可以使用数据ETL中的任务流编排，这是一个通用能力，并不一定使用在数据ETL场景，不过要进行二次开发
 如何自定义算子？,部署平台后，参考首页的自定义模板的视频，或者参考cube-studio视频号中的部分视频教程
stat /data/k8s/kubeflow/pipeline/workspace: no such fire or directory,/data/k8s/目录是分布式存储目录，单机部署时可以是主机目录，首先确保主机该目录存在，并且docker start kubelet后，保证kubelet容器中该目录存在
构建dockerfile-base时报错,构建基础镜像失败，可能是因为网络问题，可以配置相应的软件源，或者直接基于base镜像再次构建自己的环境镜像
集群加入gpu后服务报错,可以参考github wiki中“加入gpu机器”中的内容按步骤实施
商业版和开源版本的主要区别是啥,可以联系社区管理员
商业版定价多少,可以联系社区管理员
用户认证系统的问题,现在cube-studi支持AUTH_OID/AUTH_LDAP/AUTH_REMOTE_USER等登录注册方式
demo演示环境的相关问题，有没有公共体验环境？,社区使用docker-compose部署了开源版本的demo体验环境www.data-master.net，但是因为没有k8s集群，所以公共体验环境中需要与k8s先关的功能无法正常体验，如果想要体验完整开源版本或者商业版本功能，可以联系管理员
单机部署 myapp/home 无法进入,新版本首页不是myapp/home，直接http+ip进入，会自动跳转到首页。如果无法进去页面，按照github wiki中“单机部署”文章下面的部署后排查来按步骤排查问题
cube studio社区见面会,目前cube tudio还没有定时的社区见面会，可以随时关注群里的消息，有消息我们会在群里同步
如何支持更多型号的GPU？,gpu设备的支持，可以参考github wiki中“添加GPU节点”这篇文章，首先机器上要安装gpu驱动，将机器加入k8s集群，并为机器添加对应的标签，主要是gpu=true和gpu-type=V100等机器卡型，然后在k8s中安装对应的驱动插件，最后在业务镜像中安装驱动调用库，比如cuda，这样才能在平台里面使用机器上的gpu
样例任务流运行完成后，中间过程yolov7的容器没有被清除？,pipeline实例运行结束后，会在三个小时后删除，并不是立刻删除的
操作中通过更多中的删除无法删除，但通过批量操作中的删除可以进行删除(默认存在的删不了),在“更多”菜单中的删除是单条目删除，和批量操作中的删除应该是一样的。如果删除不了，建议查看是否有其他类型条目的绑定
单机版本部署rancher后，无法访问web页面，日志出现error syncing 'validating-webhook-configuration': handler need-a-cert,建议提前拉取镜像后，重新部署一下，建议把iptable放开
80端口被占用，如何修改为其他端口,可以使用nodePort模型，配置istio-system命名空间下的istio-ingressgateway服务的服务类型为nodeport
服务发布之后ExternalIP为master ip导致集群故障,这种情况主要出现在平台入口使用的是nodeport模式，所以端口相互冲突占用了
myrancher 运行docker启动后，不断重启,rancher不断重启，有可能是资源不足造成，建议扩大资源至少16核，然后按照github wiki中rancher单机高可用方案部署
myapp-1 docker 运行启动后，不断重启,myapp1 容器不断重启，有可能是链接不上数据库，可以根据日志信息提供更多内容
"when frontend run yarn & yarn build, an error happens!",可以联系社区管理员
vision 前端页面运行不起来。,可以联系社区管理员
myapp fab create-admin报错,create-admin是初始化阶段创建数据库admin账户，如果之前已经存在过admin会报错，不过可以忽略
