age,duration,campaign,pdays,previous,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed
30,487,2,999,0,-1.8,92.893,-46.2,1.313,5099.1
39,346,4,999,0,1.1,93.994,-36.4,4.855,5191
25,227,1,999,0,1.4,94.465,-41.8,4.962,5228.1
38,17,3,999,0,1.4,94.465,-41.8,4.959,5228.1
47,58,1,999,0,-0.1,93.2,-42,4.191,5195.8
32,128,3,999,2,-1.1,94.199,-37.5,0.884,4963.6
32,290,4,999,0,-1.1,94.199,-37.5,0.879,4963.6
41,44,2,999,0,-0.1,93.2,-42,4.191,5195.8
31,68,1,999,1,-0.1,93.2,-42,4.153,5195.8
35,170,1,999,0,1.1,93.994,-36.4,4.855,5191
25,301,1,999,0,1.4,93.918,-42.7,4.958,5228.1
36,148,1,999,0,1.4,93.918,-42.7,4.968,5228.1
36,97,2,999,0,1.1,93.994,-36.4,4.859,5191
47,211,2,999,0,1.4,94.465,-41.8,4.958,5228.1
29,553,2,999,0,-1.8,92.893,-46.2,1.313,5099.1
27,698,2,999,0,1.4,93.918,-42.7,4.963,5228.1
44,191,6,999,0,1.4,93.918,-42.7,4.957,5228.1
46,59,4,999,0,1.4,93.918,-42.7,4.962,5228.1
45,38,2,999,0,1.4,93.444,-36.1,4.965,5228.1
50,849,1,999,0,1.4,93.918,-42.7,4.961,5228.1
55,326,6,999,0,1.4,93.918,-42.7,4.962,5228.1
39,222,1,12,2,-1.8,93.369,-34.8,0.639,5008.7
29,626,3,999,0,1.4,93.444,-36.1,4.967,5228.1
40,119,1,999,0,1.4,93.444,-36.1,4.965,5228.1
44,388,7,999,0,1.1,93.994,-36.4,4.864,5191
38,479,1,999,0,1.4,93.444,-36.1,4.965,5228.1
36,446,1,999,0,1.1,93.994,-36.4,4.856,5191
28,68,2,999,1,-1.8,92.893,-46.2,1.299,5099.1
47,127,1,999,0,1.1,93.994,-36.4,4.86,5191
34,109,1,999,0,1.4,93.444,-36.1,4.963,5228.1
38,113,1,999,1,-1.8,92.843,-50,1.687,5099.1
